transaction_id,player_id,tricode,type,date,notes
1979-MTL-2-8447205,8447205,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 27th overall pick in the 2nd round of the 1979 draft, MTL selected Gaston Gingras, a WHA defenseman playing for the Birmingham Bulls."
1979-CHI-2-8451957,8451957,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 28th overall pick in the 2nd round of the 1979 draft, CHI selected Tim Trimper, a OHA forward playing for the Peterborough Petes."
1979-LAK-2-8447962,8447962,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 29th overall pick in the 2nd round of the 1979 draft, LAK selected Dean Hopkins, a OHA forward playing for the London Knights."
1979-LAK-2-8447569,8447569,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 30th overall pick in the 2nd round of the 1979 draft, LAK selected Mark Hardy, a QMJHL defenseman playing for the Montreal Juniors."
1979-PIT-2-8449230,8449230,PIT,DRAFTED,1979-08-09,"On 1979-08-09, with the 31st overall pick in the 2nd round of the 1979 draft, PIT selected Paul Marshall, a OHA forward playing for the Brantford Alexanders."
1979-BUF-2-8451053,8451053,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 32nd overall pick in the 2nd round of the 1979 draft, BUF selected Lindy Ruff, a WHL forward playing for the Lethbridge Broncos."
1979-AFM-2-8450835,8450835,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 33rd overall pick in the 2nd round of the 1979 draft, AFM selected Pat Riggin, a OHA goalie playing for the London Knights."
1979-NYR-2-8447980,8447980,NYR,DRAFTED,1979-08-09,"On 1979-08-09, with the 34th overall pick in the 2nd round of the 1979 draft, NYR selected Ed Hospodar, a OHA defenseman playing for the Ottawa 67's."
1979-PHI-2-8448853,8448853,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 35th overall pick in the 2nd round of the 1979 draft, PHI selected Pelle Lindbergh, a Sweden goalie playing for None."
1979-BOS-2-8449702,8449702,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 36th overall pick in the 2nd round of the 1979 draft, BOS selected Douglas Morrison, a WHL forward playing for the Lethbridge Broncos."
1979-MTL-2-8449796,8449796,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 37th overall pick in the 2nd round of the 1979 draft, MTL selected Mats Naslund, a Sweden forward playing for None."
1979-NYI-2-8445983,8445983,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 38th overall pick in the 2nd round of the 1979 draft, NYI selected Billy Carroll, a OHA forward playing for the London Knights."
1979-HFD-2-8451561,8451561,HFD,DRAFTED,1979-08-09,"On 1979-08-09, with the 39th overall pick in the 2nd round of the 1979 draft, HFD selected Stuart Smith, a OHA defenseman playing for the Peterborough Petes."
1979-WIN-2-8446079,8446079,WIN,DRAFTED,1979-08-09,"On 1979-08-09, with the 40th overall pick in the 2nd round of the 1979 draft, WIN selected Dave Christian, a NCAA forward playing for U. of North Dakota."
1979-QUE-2-8448117,8448117,QUE,DRAFTED,1979-08-09,"On 1979-08-09, with the 41st overall pick in the 2nd round of the 1979 draft, QUE selected Dale Hunter, a OHA forward playing for the Sudbury Wolves."
1979-MNS-3-8445724,8445724,MNS,DRAFTED,1979-08-09,"On 1979-08-09, with the 42nd overall pick in the 3rd round of the 1979 draft, MNS selected Neal Broten, a NCAA forward playing for U. of Minnesota."
1979-MTL-3-8448816,8448816,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 43rd overall pick in the 3rd round of the 1979 draft, MTL selected Craig Levie, a WHL defenseman playing for the Edmonton Oil Kings."
1979-MTL-3-8446036,8446036,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 44th overall pick in the 3rd round of the 1979 draft, MTL selected Guy Carbonneau, a QMJHL forward playing for the Chicoutimi Sagueneens."
1979-DET-3-8446996,8446996,DET,DRAFTED,1979-08-09,"On 1979-08-09, with the 45th overall pick in the 3rd round of the 1979 draft, DET selected Jody Gage, a OHA forward playing for the Kitchener Rangers."
1979-DET-3-8456258,8456258,DET,DRAFTED,1979-08-09,"On 1979-08-09, with the 46th overall pick in the 3rd round of the 1979 draft, DET selected Boris Fistric, a WHL defenseman playing for the New Westminster Bruins."
1979-VAN-3-8446625,8446625,VAN,DRAFTED,1979-08-09,"On 1979-08-09, with the 47th overall pick in the 3rd round of the 1979 draft, VAN selected Ken Ellacott, a OHA goalie playing for the Peterborough Petes."
