staff_id,nhl_id,start_date,end_date,team,role
CCSTA2_267,1155,1970-10-09,1972-04-02,VAN,head_coach
CCSTA2_361,1304,1984-01-27,1995-05-03,LAK,head_coach
CCSTA2_250,1131,1931-11-12,1933-01-12,CHI,head_coach
CCSTA2_288,1186,1969-10-11,1973-04-01,TOR,head_coach
CCSTA2_429,1714,2022-10-12,2024-12-04,CHI,head_coach
CCSTA2_322,1242,1970-10-09,1971-10-27,LAK,head_coach
CCSTA2_172,1020,1967-10-11,1969-12-27,MNS,head_coach
CCSTA2_334,1261,1978-10-12,1980-11-19,NYR,head_coach
CCSTA2_367,1312,1976-12-22,1977-04-03,CHI,head_coach
CCSTA2_155,157,2015-10-09,2019-12-02,NJD,head_coach
CCSTA2_301,1215,1980-11-22,1985-04-07,NYR,head_coach
CCSTA2_264,1150,1929-11-14,1931-03-21,SEN,head_coach
CCSTA2_338,1265,1966-10-19,1985-04-07,BOS,head_coach
CCSTA2_276,1170,1980-10-11,1983-11-19,CLR,head_coach
CCSTA2_528,1849,2022-10-12,2024-11-18,BOS,head_coach
CCSTA2_343,1270,1979-10-10,1980-03-12,TOR,head_coach
CCSTA2_177,1025,1949-10-12,1950-03-26,BOS,head_coach
CCSTA2_325,1247,1927-02-12,1927-02-15,TSP,head_coach
CCSTA2_324,1245,1981-12-09,1982-03-18,BUF,head_coach
CCSTA2_164,1012,1971-01-09,1975-12-03,DET,head_coach
CCSTA2_359,1300,1995-10-21,1997-04-12,MTL,head_coach
CCSTA2_357,1295,1920-12-22,1922-03-08,HAM,head_coach
CCSTA2_332,1257,1954-12-25,1966-04-03,BOS,head_coach
CCSTA2_248,1129,1929-02-14,1956-03-18,CHI,head_coach
CCSTA2_224,1093,1925-02-07,1934-03-17,MMR,head_coach
CCSTA2_162,1007,1983-10-04,1984-04-01,PIT,head_coach
CCSTA2_170,1018,1996-03-06,1996-04-13,TOR,head_coach
CCSTA2_351,1281,1975-10-08,1976-01-06,NYR,head_coach
CCSTA2_241,1118,1961-10-11,1962-03-25,NYR,head_coach
CCSTA2_285,1183,1987-10-08,1991-01-31,VAN,head_coach
CCSTA2_257,1141,1977-10-14,1978-11-23,CLR,head_coach
CCSTA2_310,1224,1978-02-18,1983-04-03,STL,head_coach
CCSTA2_286,1184,1975-01-22,1975-04-06,CGS,head_coach
CCSTA2_306,1220,1985-10-10,1988-04-03,MTL,head_coach
CCSTA2_369,1314,1971-11-01,1973-04-01,DET,head_coach
CCSTA2_151,152,2014-12-30,2015-04-11,EDM,head_coach
CCSTA2_364,1309,1981-10-06,1983-11-21,WIN,head_coach
CCSTA2_210,1074,1936-11-05,1940-03-17,NYA,head_coach
CCSTA2_217,1082,1965-12-08,1975-04-06,NYR,head_coach
CCSTA2_146,147,2015-01-07,2015-04-11,TOR,head_coach
